hour,request_count,total_tokens,input_tokens,output_tokens,estimated_cost,success_rate,error_rate,rate_limit_rate,server_error_rate,p50_latency_ms,p95_latency_ms,p99_latency_ms,p95_first_token_latency_ms,queue_p95_ms,active_customers,active_keys,distinct_ips,safety_hit_rate,retry_rate,cache_hit_rate,fallback_rate,reasoning_tokens,tokens_per_request,output_input_ratio,cost_per_request,cost_per_success,reasoning_token_share
2026-06-22 10:00:00,107,70185,48749,21436,0.0873,95.3271,4.6729,0.9346,1.8692,6695.0,10190.1,10658.7,9568.9,164.0,10,28,34,1.8692,6.5421,21.4953,0.9346,3688,655.9346,0.4397,0.0008,0.0009,17.2047
2026-06-22 11:00:00,111,70327,48934,21393,0.0898,96.3964,3.6036,0.9009,0.9009,6473.0,8935.0,10617.1,7935.5,158.5,10,27,33,0.0,2.7027,11.7117,0.9009,3493,633.5766,0.4372,0.0008,0.0008,16.3278
2026-06-22 12:00:00,103,64393,44928,19465,0.0821,98.0583,1.9417,0.9709,0.0,6645.0,9027.0,10566.38,8596.6,159.9,10,28,33,0.9709,1.9417,21.3592,0.0,3086,625.1748,0.4332,0.0008,0.0008,15.8541
2026-06-22 13:00:00,114,76165,53450,22715,0.0974,94.7368,5.2632,0.0,3.5088,6571.5,9642.5,10554.36,9120.9,141.7,10,28,34,1.7544,1.7544,17.5439,0.0,3576,668.114,0.425,0.0009,0.0009,15.7429
2026-06-22 14:00:00,116,78485,55423,23062,0.0995,93.1034,6.8966,3.4483,2.5862,6498.5,9407.25,11022.55,8589.0,139.25,10,28,40,0.0,7.7586,25.8621,0.0,3893,676.5948,0.4161,0.0009,0.0009,16.8806
2026-06-22 15:00:00,110,69052,48015,21037,0.086,94.5455,5.4545,0.9091,1.8182,6670.0,8365.55,10730.29,7511.1,150.25,10,28,35,1.8182,4.5455,18.1818,0.0,3181,627.7455,0.4381,0.0008,0.0008,15.121
2026-06-22 16:00:00,106,75319,52579,22740,0.0955,93.3962,6.6038,0.9434,3.7736,6515.5,8454.5,10026.25,7767.75,186.75,10,27,32,2.8302,4.717,16.9811,0.9434,3618,710.5566,0.4325,0.0009,0.001,15.9103
2026-06-22 17:00:00,110,71791,47909,23882,0.0927,100.0,0.0,0.0,0.0,6657.5,8922.1,10899.17,8120.05,161.3,10,26,38,0.9091,6.3636,19.0909,0.0,3581,652.6455,0.4985,0.0008,0.0008,14.9946
2026-06-22 18:00:00,72,52193,38793,13400,0.0658,94.4444,5.5556,1.3889,2.7778,6396.5,8512.45,9782.16,7574.35,145.85,10,24,30,0.0,5.5556,16.6667,0.0,2090,724.9028,0.3454,0.0009,0.001,15.597
2026-06-22 19:00:00,70,45942,33051,12891,0.0566,94.2857,5.7143,1.4286,2.8571,6518.5,8593.45,10086.67,7533.45,164.0,10,25,25,0.0,2.8571,12.8571,0.0,2121,656.3143,0.39,0.0008,0.0009,16.4533
2026-06-22 20:00:00,77,50373,35694,14679,0.0642,96.1039,3.8961,2.5974,0.0,6341.0,8263.0,10537.72,7739.0,169.0,9,24,27,0.0,2.5974,18.1818,0.0,2137,654.1948,0.4112,0.0008,0.0009,14.5582
2026-06-22 21:00:00,65,44170,30039,14131,0.0539,95.3846,4.6154,0.0,3.0769,6747.0,9161.8,9934.72,8252.0,160.6,10,25,25,1.5385,3.0769,18.4615,0.0,2390,679.5385,0.4704,0.0008,0.0009,16.9132
2026-06-22 22:00:00,49,31760,21819,9941,0.0398,95.9184,4.0816,0.0,4.0816,6536.0,9111.2,9722.68,8388.0,142.4,9,24,25,0.0,4.0816,18.3673,0.0,1588,648.1633,0.4556,0.0008,0.0008,15.9742
2026-06-22 23:00:00,46,28014,18979,9035,0.0362,95.6522,4.3478,0.0,0.0,6540.5,9590.0,10780.55,8890.0,216.5,10,22,29,4.3478,2.1739,17.3913,0.0,1360,609.0,0.4761,0.0008,0.0008,15.0526
2026-06-23 00:00:00,27,16117,11015,5102,0.0215,96.2963,3.7037,0.0,3.7037,6470.0,8043.7,8273.64,7651.3,197.0,8,15,18,0.0,3.7037,22.2222,0.0,969,596.9259,0.4632,0.0008,0.0008,18.9926
2026-06-23 01:00:00,26,20290,14882,5408,0.0252,92.3077,7.6923,0.0,3.8462,6616.5,8966.75,10209.5,7656.5,170.75,9,19,16,0.0,3.8462,23.0769,0.0,925,780.3846,0.3634,0.001,0.0011,17.1043
2026-06-23 02:00:00,17,9446,6459,2987,0.0125,100.0,0.0,0.0,0.0,6398.0,7892.2,8244.84,7061.6,109.6,8,13,13,0.0,11.7647,23.5294,0.0,429,555.6471,0.4625,0.0007,0.0007,14.3622
2026-06-23 03:00:00,20,13776,10092,3684,0.0165,100.0,0.0,0.0,0.0,6631.0,9309.05,10024.21,9087.25,124.75,9,12,14,0.0,0.0,20.0,0.0,478,688.8,0.365,0.0008,0.0008,12.975
2026-06-23 04:00:00,27,19876,14633,5243,0.0253,92.5926,7.4074,0.0,0.0,6523.0,9023.1,10108.8,8150.5,162.7,9,18,18,0.0,0.0,33.3333,0.0,699,736.1481,0.3583,0.0009,0.001,13.3321
2026-06-23 05:00:00,18,12994,8460,4534,0.0158,83.3333,16.6667,0.0,16.6667,7523.0,9822.5,9910.9,9012.75,151.75,7,9,9,0.0,0.0,22.2222,0.0,857,721.8889,0.5359,0.0009,0.0011,18.9016
2026-06-23 06:00:00,59,41217,28828,12389,0.052,100.0,0.0,0.0,0.0,6631.0,8469.4,9164.42,7613.9,174.5,10,26,26,0.0,0.0,18.6441,0.0,1872,698.5932,0.4298,0.0009,0.0009,15.1102
2026-06-23 07:00:00,66,41753,29615,12138,0.0534,95.4545,4.5455,0.0,3.0303,6503.0,8204.75,9694.95,7803.75,167.75,10,22,27,0.0,6.0606,15.1515,3.0303,1929,632.6212,0.4099,0.0008,0.0008,15.8922
2026-06-23 08:00:00,52,32854,23198,9656,0.043,100.0,0.0,0.0,0.0,6571.5,8261.75,10835.0,7404.9,162.5,10,26,27,0.0,1.9231,9.6154,0.0,1465,631.8077,0.4162,0.0008,0.0008,15.1719
2026-06-23 09:00:00,118,76977,54498,22479,0.0962,95.7627,4.2373,0.8475,0.8475,6634.0,8794.25,10220.49,8132.55,210.3,10,28,41,1.6949,7.6271,22.8814,0.0,3547,652.3475,0.4125,0.0008,0.0009,15.7792
2026-06-23 10:00:00,124,84090,60850,23240,0.1049,96.7742,3.2258,0.8065,0.8065,6571.5,9411.55,10524.69,8668.05,154.9,10,27,37,0.0,4.0323,17.7419,0.0,3716,678.1452,0.3819,0.0008,0.0009,15.9897
2026-06-23 11:00:00,108,67200,46484,20716,0.0853,97.2222,2.7778,0.9259,0.9259,6679.0,8804.8,10449.73,8006.85,172.8,10,26,39,1.8519,3.7037,12.037,0.0,3263,622.2222,0.4457,0.0008,0.0008,15.7511
2026-06-23 12:00:00,123,83399,58914,24485,0.1036,94.3089,5.6911,2.439,0.813,6594.0,8565.3,10033.46,7539.6,135.9,10,28,38,1.626,5.6911,19.5122,0.0,3794,678.0407,0.4156,0.0008,0.0009,15.4952
2026-06-23 13:00:00,102,66657,47387,19270,0.0841,96.0784,3.9216,0.9804,1.9608,6489.5,8650.45,10271.92,8314.75,165.3,10,27,34,2.9412,3.9216,15.6863,0.0,2917,653.5,0.4067,0.0008,0.0009,15.1375
2026-06-23 14:00:00,121,83423,59681,23742,0.1033,93.3884,6.6116,1.6529,0.8264,6640.0,8885.0,10216.2,7965.0,147.0,10,30,38,0.8264,4.9587,21.4876,0.0,3751,689.4463,0.3978,0.0009,0.0009,15.799
2026-06-23 15:00:00,109,72725,51572,21153,0.0913,95.4128,4.5872,0.9174,0.9174,6538.0,10222.0,10856.6,9415.2,154.6,10,29,32,0.9174,2.7523,18.3486,0.0,3641,667.2018,0.4102,0.0008,0.0009,17.2127
2026-06-23 16:00:00,103,73780,51847,21933,0.0907,99.0291,0.9709,0.0,0.9709,6671.0,8550.9,10007.56,7565.2,172.7,10,27,37,1.9417,5.8252,17.4757,0.0,3651,716.3107,0.423,0.0009,0.0009,16.6461
2026-06-23 17:00:00,111,80362,55585,24777,0.0991,97.2973,2.7027,0.9009,0.0,6643.0,9483.0,10558.4,7840.5,152.5,10,29,33,0.0,7.2072,19.8198,0.0,3935,723.982,0.4457,0.0009,0.0009,15.8817
2026-06-23 18:00:00,50,32883,22127,10756,0.041,94.0,6.0,0.0,4.0,6406.0,8729.55,9427.51,7329.55,195.5,10,22,26,4.0,4.0,24.0,0.0,1687,657.66,0.4861,0.0008,0.0009,15.6843
2026-06-23 19:00:00,91,65338,46167,19171,0.0798,93.4066,6.5934,3.2967,2.1978,6627.0,8998.0,10433.5,8015.5,147.0,10,28,33,0.0,5.4945,14.2857,0.0,3012,718.0,0.4153,0.0009,0.0009,15.7112
2026-06-23 20:00:00,63,42309,28758,13551,0.0532,93.6508,6.3492,1.5873,4.7619,6536.0,10447.4,12021.22,9867.6,168.5,10,26,35,0.0,3.1746,17.4603,0.0,2174,671.5714,0.4712,0.0008,0.0009,16.0431
2026-06-23 21:00:00,73,47631,32745,14886,0.0616,93.1507,6.8493,4.1096,0.0,6627.0,9223.6,10886.36,8938.6,131.0,10,25,32,1.3699,5.4795,17.8082,0.0,2511,652.4795,0.4546,0.0008,0.0009,16.8682
2026-06-23 22:00:00,37,23181,15695,7486,0.0289,94.5946,5.4054,2.7027,2.7027,6708.0,9511.4,10827.08,9112.0,163.4,10,17,23,2.7027,2.7027,10.8108,0.0,1115,626.5135,0.477,0.0008,0.0008,14.8945
2026-06-23 23:00:00,40,24130,15649,8481,0.0298,95.0,5.0,2.5,0.0,6749.0,10080.45,10488.41,8129.65,140.4,10,18,23,0.0,2.5,15.0,0.0,1268,603.25,0.542,0.0007,0.0008,14.9511
2026-06-24 00:00:00,24,16971,12117,4854,0.0236,87.5,12.5,0.0,12.5,6724.0,8704.15,9032.6,7780.0,172.95,10,18,18,0.0,0.0,20.8333,0.0,747,707.125,0.4006,0.001,0.0011,15.3894
2026-06-24 01:00:00,17,10274,6836,3438,0.013,100.0,0.0,0.0,0.0,6660.0,8589.6,8706.72,7449.0,149.6,9,15,14,0.0,0.0,17.6471,0.0,644,604.3529,0.5029,0.0008,0.0008,18.7318
2026-06-24 02:00:00,20,12624,8477,4147,0.0175,85.0,15.0,5.0,5.0,6436.5,7443.7,9430.34,6991.2,132.95,7,13,12,0.0,5.0,10.0,5.0,483,631.2,0.4892,0.0009,0.001,11.647
2026-06-24 03:00:00,22,15324,10665,4659,0.0195,100.0,0.0,0.0,0.0,6554.0,7809.65,8332.6,6990.2,183.25,9,12,16,0.0,9.0909,13.6364,0.0,673,696.5455,0.4368,0.0009,0.0009,14.4452
2026-06-24 04:00:00,25,17472,11225,6247,0.021,92.0,8.0,4.0,4.0,7093.0,10039.8,10776.32,9280.4,183.4,10,18,17,0.0,0.0,20.0,0.0,1100,698.88,0.5565,0.0008,0.0009,17.6085
2026-06-24 05:00:00,21,15771,10849,4922,0.0192,95.2381,4.7619,0.0,4.7619,6644.0,8705.0,9291.4,8370.0,126.0,9,17,18,4.7619,4.7619,23.8095,4.7619,811,751.0,0.4537,0.0009,0.001,16.477
2026-06-24 06:00:00,62,40202,28106,12096,0.0515,95.1613,4.8387,1.6129,1.6129,6601.0,8486.6,10967.2,7392.8,128.6,10,27,30,1.6129,6.4516,22.5806,0.0,1961,648.4194,0.4304,0.0008,0.0009,16.212
2026-06-24 07:00:00,55,33963,24272,9691,0.0444,96.3636,3.6364,0.0,0.0,6618.0,9292.1,9579.1,8489.7,125.4,9,20,24,1.8182,5.4545,16.3636,0.0,1517,617.5091,0.3993,0.0008,0.0008,15.6537
2026-06-24 08:00:00,52,37630,26553,11077,0.0492,92.3077,7.6923,1.9231,5.7692,6526.5,8185.25,9589.28,7121.05,144.5,10,25,27,0.0,3.8462,17.3077,0.0,1600,723.6538,0.4172,0.0009,0.001,14.4443
2026-06-24 09:00:00,108,81557,56896,24661,0.1011,95.3704,4.6296,0.9259,0.9259,6622.0,8657.05,9448.81,7404.9,156.55,10,28,36,5.5556,0.9259,13.8889,0.9259,3592,755.1574,0.4334,0.0009,0.001,14.5655
2026-06-24 10:00:00,98,58904,39819,19085,0.0722,93.8776,6.1224,3.0612,2.0408,6536.5,8579.8,9908.75,7813.9,206.3,10,26,35,1.0204,2.0408,15.3061,1.0204,3136,601.0612,0.4793,0.0007,0.0008,16.4318
2026-06-24 11:00:00,89,58239,39812,18427,0.0726,95.5056,4.4944,1.1236,2.2472,6575.0,9994.0,10535.76,9242.0,146.2,10,25,34,1.1236,4.4944,25.8427,0.0,2876,654.3708,0.4629,0.0008,0.0009,15.6075
2026-06-24 12:00:00,105,63947,45204,18743,0.0845,97.1429,2.8571,1.9048,0.0,6566.0,10015.0,10934.08,9492.8,189.8,10,28,30,0.9524,8.5714,18.0952,0.9524,2786,609.019,0.4146,0.0008,0.0008,14.8642
2026-06-24 13:00:00,110,68733,48900,19833,0.088,93.6364,6.3636,2.7273,1.8182,6429.5,8136.2,10091.93,7565.85,166.1,10,29,38,0.9091,7.2727,16.3636,0.0,2971,624.8455,0.4056,0.0008,0.0009,14.9801
2026-06-24 14:00:00,134,98874,73287,25587,0.1242,96.2687,3.7313,1.4925,0.7463,6475.5,9356.2,11230.79,7994.5,145.05,10,29,35,0.7463,2.2388,22.3881,0.0,3921,737.8657,0.3491,0.0009,0.001,15.3242
2026-06-24 15:00:00,98,64871,45535,19336,0.0817,95.9184,4.0816,0.0,3.0612,6586.5,9542.95,10832.34,7815.15,165.2,10,26,34,0.0,6.1224,17.3469,0.0,3072,661.949,0.4246,0.0008,0.0009,15.8875
2026-06-24 16:00:00,113,77654,54848,22806,0.0978,93.8053,6.1947,0.885,3.5398,6495.0,9629.0,11137.68,8296.4,178.0,10,28,33,1.7699,7.9646,19.469,0.0,3858,687.2035,0.4158,0.0009,0.0009,16.9166
2026-06-24 17:00:00,109,71866,51878,19988,0.089,89.9083,10.0917,3.6697,3.6697,6447.0,8911.8,10290.92,8023.4,147.2,10,28,36,2.7523,5.5046,18.3486,0.0,3059,659.3211,0.3853,0.0008,0.0009,15.3042
2026-06-24 18:00:00,72,50176,35557,14619,0.0625,95.8333,4.1667,1.3889,1.3889,6588.0,9191.45,11458.02,8176.65,167.2,10,25,30,0.0,4.1667,18.0556,0.0,2253,696.8889,0.4111,0.0009,0.0009,15.4115
2026-06-24 19:00:00,62,40257,26675,13582,0.0491,90.3226,9.6774,3.2258,4.8387,6608.5,10622.65,10887.19,9864.85,155.0,10,26,29,1.6129,6.4516,19.3548,0.0,2211,649.3065,0.5092,0.0008,0.0009,16.2789
2026-06-24 20:00:00,58,39125,27728,11397,0.0474,93.1034,6.8966,1.7241,3.4483,6690.0,8709.55,11995.72,7636.45,176.35,10,22,26,3.4483,1.7241,18.9655,0.0,2001,674.569,0.411,0.0008,0.0009,17.5573
2026-06-24 21:00:00,91,59607,42030,17577,0.0755,91.2088,8.7912,4.3956,3.2967,6546.0,9575.5,10980.6,9130.5,179.5,10,26,35,2.1978,6.5934,16.4835,0.0,2708,655.022,0.4182,0.0008,0.0009,15.4065
2026-06-24 22:00:00,31,22326,16177,6149,0.0275,93.5484,6.4516,3.2258,0.0,7039.0,9502.0,10287.7,8879.0,207.5,8,16,19,0.0,9.6774,12.9032,0.0,997,720.1935,0.3801,0.0009,0.0009,16.214
2026-06-24 23:00:00,35,24269,17863,6406,0.0305,94.2857,5.7143,0.0,5.7143,6322.0,8725.0,9432.8,7289.8,151.3,9,22,21,0.0,2.8571,8.5714,0.0,1010,693.4,0.3586,0.0009,0.0009,15.7665
2026-06-25 00:00:00,27,18772,13763,5009,0.0246,92.5926,7.4074,0.0,3.7037,6405.0,9801.9,11198.96,9457.5,161.2,9,16,17,0.0,0.0,25.9259,0.0,722,695.2593,0.3639,0.0009,0.001,14.4141
2026-06-25 01:00:00,27,18483,12371,6112,0.0232,92.5926,7.4074,0.0,7.4074,6593.0,8166.3,9338.64,7088.8,153.2,9,17,17,3.7037,3.7037,22.2222,0.0,1024,684.5556,0.4941,0.0009,0.0009,16.7539
2026-06-25 02:00:00,26,18426,13779,4647,0.0248,96.1538,3.8462,3.8462,0.0,6407.5,10235.0,11549.75,9303.0,177.0,9,17,17,0.0,15.3846,26.9231,0.0,681,708.6923,0.3373,0.001,0.001,14.6546
2026-06-25 03:00:00,20,13348,9339,4009,0.016,95.0,5.0,5.0,0.0,6865.0,10274.9,11352.58,9693.1,149.0,10,16,14,0.0,10.0,0.0,0.0,578,667.4,0.4293,0.0008,0.0008,14.4176
2026-06-25 04:00:00,33,21442,14661,6781,0.0267,93.9394,6.0606,3.0303,3.0303,6651.0,8289.0,9379.48,7329.4,139.4,10,19,19,0.0,6.0606,12.1212,0.0,1121,649.7576,0.4625,0.0008,0.0009,16.5315
2026-06-25 05:00:00,21,13588,9456,4132,0.0197,100.0,0.0,0.0,0.0,6626.0,7926.0,9688.4,6998.0,187.0,9,15,13,0.0,9.5238,52.381,0.0,565,647.0476,0.437,0.0009,0.0009,13.6738
2026-06-25 06:00:00,73,53154,37151,16003,0.068,93.1507,6.8493,2.7397,2.7397,6646.0,8858.0,10354.24,8655.4,145.0,10,28,32,1.3699,4.1096,16.4384,0.0,2372,728.137,0.4308,0.0009,0.001,14.8222
2026-06-25 07:00:00,71,50861,35349,15512,0.0648,92.9577,7.0423,2.8169,1.4085,6641.0,9732.0,10322.7,7976.5,152.0,10,27,27,0.0,1.4085,15.493,0.0,2386,716.3521,0.4388,0.0009,0.001,15.3816
2026-06-25 08:00:00,38,23691,15630,8061,0.0306,97.3684,2.6316,0.0,0.0,6666.5,10132.65,10635.85,9607.3,172.3,9,18,20,2.6316,0.0,18.4211,0.0,1280,623.4474,0.5157,0.0008,0.0008,15.8789
2026-06-25 09:00:00,120,79423,57916,21507,0.1013,97.5,2.5,1.6667,0.0,6660.0,9314.1,10281.22,8953.1,162.25,10,27,34,0.8333,5.0,21.6667,0.0,3604,661.8583,0.3713,0.0008,0.0009,16.7573
2026-06-25 10:00:00,112,71297,47655,23642,0.091,95.5357,4.4643,0.0,3.5714,6684.5,9607.05,11042.87,9005.95,128.6,10,29,39,0.8929,1.7857,22.3214,0.0,3724,636.5804,0.4961,0.0008,0.0009,15.7516
2026-06-25 11:00:00,117,76897,55383,21514,0.095,94.8718,5.1282,0.8547,2.5641,6579.0,9711.0,10556.56,9349.8,140.0,10,29,37,0.0,2.5641,18.8034,0.0,3416,657.2393,0.3885,0.0008,0.0009,15.878
2026-06-25 12:00:00,96,64222,46682,17540,0.0795,94.7917,5.2083,2.0833,2.0833,6440.0,8306.5,9999.15,7712.5,135.5,10,29,32,2.0833,5.2083,17.7083,0.0,2751,668.9792,0.3757,0.0008,0.0009,15.6842
2026-06-25 13:00:00,92,60016,41104,18912,0.0738,96.7391,3.2609,0.0,2.1739,6635.0,9039.95,10582.55,8220.45,148.45,10,28,30,0.0,3.2609,18.4783,0.0,2986,652.3478,0.4601,0.0008,0.0008,15.7889
2026-06-25 14:00:00,115,78635,56450,22185,0.0979,93.0435,6.9565,2.6087,2.6087,6517.0,10561.9,11116.94,9709.7,144.1,10,28,37,0.0,5.2174,20.0,0.0,3571,683.7826,0.393,0.0009,0.0009,16.0965
2026-06-25 15:00:00,102,67422,46329,21093,0.0845,93.1373,6.8627,2.9412,3.9216,6727.0,9143.4,10080.17,8084.5,149.55,10,28,36,1.9608,10.7843,23.5294,0.0,3621,661.0,0.4553,0.0008,0.0009,17.1668
2026-06-25 16:00:00,109,68462,48189,20273,0.0844,96.3303,3.6697,2.7523,0.0,6544.0,9706.4,10995.08,9357.2,157.0,10,29,38,1.8349,3.6697,15.5963,0.0,3182,628.0917,0.4207,0.0008,0.0008,15.6958
2026-06-25 17:00:00,130,80496,54575,25921,0.1062,93.8462,6.1538,2.3077,3.8462,6365.5,8758.85,9702.28,7502.35,158.55,10,29,41,0.7692,6.1538,13.0769,0.0,3803,619.2,0.475,0.0008,0.0009,14.6715
2026-06-25 18:00:00,52,33331,22977,10354,0.041,94.2308,5.7692,1.9231,3.8462,6736.0,9829.1,11076.75,8453.6,128.8,10,24,25,0.0,1.9231,7.6923,0.0,1455,640.9808,0.4506,0.0008,0.0008,14.0525
2026-06-25 19:00:00,78,51487,38285,13202,0.0649,100.0,0.0,0.0,0.0,6465.5,7997.5,10116.68,7118.25,142.45,10,28,32,2.5641,2.5641,19.2308,0.0,1795,660.0897,0.3448,0.0008,0.0008,13.5964
2026-06-25 20:00:00,61,45625,32161,13464,0.0562,91.8033,8.1967,1.6393,1.6393,6742.0,9272.0,10841.2,7815.0,173.0,10,26,32,1.6393,13.1148,19.6721,0.0,2096,747.9508,0.4186,0.0009,0.001,15.5674
2026-06-25 21:00:00,67,43183,29987,13196,0.0541,97.0149,2.9851,0.0,1.4925,6460.0,9029.1,10624.14,8116.9,152.4,10,25,29,1.4925,4.4776,13.4328,1.4925,2146,644.5224,0.4401,0.0008,0.0008,16.2625
2026-06-25 22:00:00,42,31851,22882,8969,0.0399,97.619,2.381,0.0,2.381,6589.0,9627.3,11595.95,8711.35,135.95,9,19,22,0.0,0.0,19.0476,0.0,1497,758.3571,0.392,0.0009,0.001,16.6908
2026-06-25 23:00:00,43,27433,19260,8173,0.0368,97.6744,2.3256,0.0,2.3256,6354.0,8886.8,10486.22,8701.4,122.9,10,25,20,2.3256,4.6512,18.6047,0.0,1151,637.9767,0.4244,0.0009,0.0009,14.083
2026-06-26 00:00:00,33,25053,19356,5697,0.0322,90.9091,9.0909,6.0606,3.0303,6578.0,8535.2,9361.64,7447.0,127.0,10,17,24,0.0,6.0606,9.0909,0.0,950,759.1818,0.2943,0.001,0.0011,16.6754
2026-06-26 01:00:00,19,13423,8205,5218,0.0161,94.7368,5.2632,0.0,5.2632,6975.0,10246.2,11471.64,8045.8,94.3,8,11,16,0.0,0.0,10.5263,0.0,839,706.4737,0.636,0.0008,0.0009,16.079
2026-06-26 02:00:00,21,12995,8911,4084,0.016,95.2381,4.7619,4.7619,0.0,6582.0,7554.0,7879.6,6813.0,136.0,8,13,14,0.0,4.7619,19.0476,0.0,663,618.8095,0.4583,0.0008,0.0008,16.2341
2026-06-26 03:00:00,27,15748,11500,4248,0.0222,100.0,0.0,0.0,0.0,6369.0,9254.3,9772.3,8590.1,151.8,8,17,18,3.7037,0.0,18.5185,0.0,632,583.2593,0.3694,0.0008,0.0008,14.8776
2026-06-26 04:00:00,23,12804,8208,4596,0.0159,86.9565,13.0435,4.3478,8.6957,6653.0,9479.6,9905.8,9094.4,182.5,8,15,12,0.0,8.6957,21.7391,0.0,792,556.6957,0.5599,0.0007,0.0008,17.2324
2026-06-26 05:00:00,30,22964,16173,6791,0.0284,93.3333,6.6667,0.0,3.3333,6696.5,9737.8,10561.63,8755.45,135.0,10,19,20,10.0,3.3333,13.3333,0.0,1084,765.4667,0.4199,0.0009,0.001,15.9623
2026-06-26 06:00:00,65,41899,28515,13384,0.0547,95.3846,4.6154,3.0769,1.5385,6559.0,8580.8,10104.36,7512.0,208.4,10,26,28,0.0,6.1538,10.7692,0.0,2235,644.6,0.4694,0.0008,0.0009,16.699
2026-06-26 07:00:00,69,48748,35027,13721,0.0612,92.7536,7.2464,1.4493,2.8986,6422.0,8707.8,11015.12,7795.4,137.2,10,27,30,1.4493,1.4493,21.7391,0.0,2029,706.4928,0.3917,0.0009,0.001,14.7876
2026-06-26 08:00:00,49,31790,23565,8225,0.0423,95.9184,4.0816,0.0,0.0,6472.0,9292.0,10422.44,8312.6,150.0,10,24,28,4.0816,0.0,20.4082,0.0,1378,648.7755,0.349,0.0009,0.0009,16.7538
2026-06-26 09:00:00,116,80655,57513,23142,0.1005,93.9655,6.0345,2.5862,2.5862,6567.0,8797.25,10411.05,7920.0,172.5,10,28,34,2.5862,4.3103,24.1379,0.0,3932,695.3017,0.4024,0.0009,0.0009,16.9908
2026-06-26 10:00:00,97,65871,46611,19260,0.0825,93.8144,6.1856,2.0619,3.0928,6650.0,9131.6,11179.92,7842.0,197.4,10,28,35,0.0,2.0619,24.7423,3.0928,3068,679.0825,0.4132,0.0009,0.0009,15.9294
2026-06-26 11:00:00,104,66986,47287,19699,0.0832,97.1154,2.8846,1.9231,0.0,6401.5,8374.65,10343.07,7168.2,147.35,10,26,32,0.9615,5.7692,10.5769,0.0,3314,644.0962,0.4166,0.0008,0.0008,16.8232
2026-06-26 12:00:00,113,73244,49121,24123,0.0906,93.8053,6.1947,1.7699,1.7699,6576.0,8859.8,10765.0,7819.2,155.4,10,27,36,0.0,5.3097,16.8142,1.7699,4015,648.177,0.4911,0.0008,0.0009,16.6439
2026-06-26 13:00:00,105,71387,51325,20062,0.0929,95.2381,4.7619,0.0,3.8095,6388.0,8540.2,10200.08,7724.6,180.2,10,27,36,0.0,2.8571,20.0,0.0,2910,679.8762,0.3909,0.0009,0.0009,14.505
